iccs,leg_stat,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,T,NR,XK	80 	67 	97 	79 	43 	59 	90 	76 	77 	56 
ICCS0101,PER_CNV,T,P_HTHAB,AL	3.30 	4.69 	5.82 	6.04 	: 	: 	: 	: 	: 	3.03 
ICCS0101,PER_CNV,T,P_HTHAB,AT	0.27 	0.37 	0.29 	0.41 	0.39 	0.46 	0.35 	0.47 	0.24 	0.31 
ICCS0101,PER_CNV,T,P_HTHAB,BA	: 	: 	: 	: 	: 	2.81 	2.84 	2.89 	2.71 	2.99 
ICCS0101,PER_CNV,T,P_HTHAB,BE	: 	: 	2.18 	2.05 	2.23 	2.65 	2.24 	1.96 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,BG	1.07 	1.15 	1.36 	1.02 	1.04 	1.46 	1.55 	1.70 	1.55 	1.90 
ICCS0101,PER_CNV,T,P_HTHAB,CH	0.33 	0.40 	0.47 	0.43 	0.42 	0.52 	0.38 	0.62 	0.47 	0.53 
ICCS0101,PER_CNV,T,P_HTHAB,CY	1.87 	0.71 	0.35 	0.70 	2.08 	1.04 	0.24 	1.59 	0.63 	0.52 
ICCS0101,PER_CNV,T,P_HTHAB,CZ	0.78 	0.94 	1.08 	1.30 	1.19 	1.06 	1.25 	1.04 	1.06 	1.31 
ICCS0101,PER_CNV,T,P_HTHAB,DE	0.36 	0.39 	0.41 	0.40 	0.36 	0.44 	0.41 	0.46 	0.48 	: 
ICCS0101,PER_CNV,T,P_HTHAB,DK	0.57 	0.35 	0.64 	0.44 	0.43 	0.61 	0.47 	0.98 	0.64 	0.40 
ICCS0101,PER_CNV,T,P_HTHAB,EE	2.20 	2.74 	2.74 	2.43 	5.23 	4.45 	3.01 	3.98 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,ES	0.42 	0.41 	0.53 	0.49 	0.20 	0.18 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,FI	0.87 	0.98 	1.01 	1.36 	1.23 	1.31 	1.53 	1.38 	1.37 	1.75 
ICCS0101,PER_CNV,T,P_HTHAB,FR	0.67 	0.67 	0.63 	0.60 	0.85 	0.89 	0.79 	1.02 	0.97 	1.03 
ICCS0101,PER_CNV,T,P_HTHAB,HR	1.52 	1.67 	0.73 	1.11 	1.22 	1.10 	1.07 	0.79 	1.14 	1.00 
ICCS0101,PER_CNV,T,P_HTHAB,HU	1.70 	1.92 	1.55 	1.58 	1.22 	1.37 	1.10 	1.38 	1.62 	1.35 
ICCS0101,PER_CNV,T,P_HTHAB,IE	: 	: 	0.45 	0.46 	0.39 	0.44 	0.44 	0.35 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,IS	: 	0.30 	0.91 	: 	0.31 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,IT	0.98 	1.02 	0.85 	0.99 	0.90 	0.83 	0.76 	1.00 	1.01 	1.05 
ICCS0101,PER_CNV,T,P_HTHAB,LI	: 	: 	: 	: 	: 	: 	: 	0.00 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,LT	5.20 	5.02 	4.45 	6.69 	5.82 	6.26 	7.11 	7.54 	6.69 	8.59 
ICCS0101,PER_CNV,T,P_HTHAB,LU	0.17 	0.35 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,LV	5.23 	5.23 	5.84 	6.10 	5.14 	4.11 	3.04 	3.68 	3.70 	4.79 
ICCS0101,PER_CNV,T,P_HTHAB,ME	1.93 	1.77 	2.41 	3.22 	5.80 	0.97 	0.97 	0.65 	4.54 	: 
ICCS0101,PER_CNV,T,P_HTHAB,MK	: 	: 	: 	1.94 	1.60 	1.84 	1.90 	1.66 	2.64 	1.61 
ICCS0101,PER_CNV,T,P_HTHAB,MT	0.22 	0.23 	0.70 	0.00 	0.47 	0.48 	0.72 	0.72 	0.97 	0.25 
ICCS0101,PER_CNV,T,P_HTHAB,NL	3.22 	2.82 	3.14 	3.49 	4.20 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,NO	: 	0.50 	0.46 	0.49 	0.53 	0.54 	0.45 	0.60 	0.48 	0.40 
ICCS0101,PER_CNV,T,P_HTHAB,PL	0.55 	0.68 	0.65 	0.68 	0.85 	0.92 	0.92 	0.94 	0.90 	0.91 
ICCS0101,PER_CNV,T,P_HTHAB,PT	0.58 	0.90 	1.05 	1.13 	1.26 	1.28 	1.31 	1.13 	1.51 	1.15 
